gene_id,gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
SLC25A36,SLC25A36,1895.0232983923374,0.16113067067539846,0.08926190523364465,0.05947381215779047,0.15953845811828996
PAXBP1,PAXBP1,495.5454163104001,-0.21785540361492137,0.12572773199409865,0.05949416107347638,0.1595405437867365
ZCCHC3,ZCCHC3,292.6376450576933,-0.22175029528407625,0.12885331680085613,0.059505377587211666,0.15954117567163653
SMURF2,SMURF2,3124.543981467927,-0.237894444952325,0.140843579969916,0.059529444683454474,0.15957625494573988
USF1,USF1,493.4626797020494,-0.21617225169524817,0.12547446651259084,0.059555139984692224,0.1596156850834889
VWA7,VWA7,18.554526511847826,-0.40142241367888665,0.4366833019513859,0.05961896077557673,0.15975726320700007
ZCCHC10,ZCCHC10,165.72405551829962,0.2809849632256717,0.17564960029509602,0.05964944360389072,0.15980947190133288
ENPEP,ENPEP,22.57586990402303,0.40391686552981154,0.424753100273686,0.059713549603077794,0.15995172606620894
C5orf30,C5orf30,188.27966581194462,0.2749391369806043,0.17114046656293933,0.05991032954658052,0.16039011939971778
EIF4E2,EIF4E2,1207.0880960867066,0.15853784677373362,0.08779125860168402,0.05990007709690453,0.16039011939971778
ZNF704,ZNF704,206.55123145049,0.3423319275548183,0.251562729474196,0.05990089607475618,0.16039011939971778
PET117,PET117,77.76120138854996,0.3306601412630915,0.2274555920578962,0.05992780256265056,0.16039610997328183
RNF8,RNF8,372.84509560311443,0.2132819178713878,0.12414572798022112,0.05993464664085257,0.16039610997328183
GTF2IRD1,GTF2IRD1,267.30702323362647,-0.2466443234138582,0.14939697412782568,0.05995245753118032,0.16040187724230567
IL22RA1,IL22RA1,13.766679613279655,0.34833759360175603,0.47613234623102685,0.059958881912241864,0.16040187724230567
DOHH,DOHH,149.92012464717018,0.2698444203031358,0.16646328667969595,0.06002550959722711,0.1605505576101091
CEP135,CEP135,175.05391156323918,-0.2617990768020894,0.1591871908619246,0.060053586004230525,0.16059608891136856
POLR2C,POLR2C,902.8258097857519,0.17112174450872913,0.0955240431045959,0.060143986699842784,0.1607857599844461
SLAIN2,SLAIN2,978.8547754448712,0.16875003035950775,0.09420245667686905,0.060146645021368614,0.1607857599844461
ABHD14B,ABHD14B,943.0484207881016,0.16119646987737216,0.09006703183160689,0.060191341201653696,0.16087564317859207
