ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0050767,regulation of neurogenesis,190,-0.40398830304051586,-1.5099574514335112,0.002514862775940619,0.14618573621334036,0.12864073025720069,1763,"tags=24%, list=14%, signal=21%",5789/6092/650/9572/10636/3815/9037/5649/85358/7431/5728/4038/4131/283659/28514/4192/9820/274/64221/26230/5270/2852/3569/6653/5764/22924/4851/6356/8553/4137/22891/8140/6091/8864/7422/11221/26011/80031/2258/2048/6387/4232/146433/57722/1959/7472,0.4317076958033464
GO:0045214,sarcomere organization,23,0.5971604615372016,1.5089893813162596,0.04743833017077799,0.44137945551923546,0.38840571555939946,1195,"tags=35%, list=9%, signal=32%",51778/5339/9948/5587/11214/825/7168/8736,0.2878571172551493
GO:0008593,regulation of Notch signaling pathway,57,-0.48364607691985,-1.5088801711235063,0.014548165514671887,0.2628613452248919,0.23131309717366547,1830,"tags=32%, list=14%, signal=27%",196403/408/6092/6721/79094/3815/57178/54475/3996/55589/28514/182/9139/221336/3714/6091/7042/3955,0.3807304007227924
GO:0006937,regulation of muscle contraction,93,0.4615925067390535,1.5088623442665352,0.01636971841457438,0.26666411481401514,0.23465946371814675,1415,"tags=34%, list=11%, signal=31%",147/783/6781/488/5318/18/1756/4660/6722/1760/6331/54795/5587/80005/1264/857/1832/481/8877/59341/10398/7168/57158/2281/5604/490/801/30845/1613/9446/93649/6717,0.35248785758361917
GO:0061351,neural precursor cell proliferation,67,-0.47488682438394775,-1.508323972607879,0.011304052488328562,0.23368342309498938,0.20563706812045698,1277,"tags=22%, list=10%, signal=20%",7474/282991/6567/4192/9760/5764/22809/80709/4851/10763/9181/7422/2258/2263/7472,0.3807304007227924
GO:2000146,negative regulation of cell motility,210,0.4155831221012466,1.5081418095374934,0.004317251579923691,0.17976300727469496,0.1581881045856576,1176,"tags=19%, list=9%, signal=17%",247/1843/28984/104/89795/6781/7057/10653/79772/4739/10370/3622/2309/8819/388/23189/347/2043/5468/4771/6722/5793/94/7414/4681/25932/7026/90627/1992/10014/3418/397/1845/5795/7168/56999/23560/10193/6422,0.40701791892395395
GO:0016331,morphogenesis of embryonic epithelium,40,-0.5159198276246093,-1.5069705326392533,0.027590589214160837,0.33784893036648467,0.29730077806997857,2423,"tags=42%, list=19%, signal=35%",6495/7849/7040/23654/51804/9620/1856/8543/7474/26585/25902/5898/7020/6662/7042/2263/9096,0.35248785758361917
GO:0035773,insulin secretion involved in cellular response to glucose stimulus,38,-0.5274348408385248,-1.5060997330984047,0.02094777858716584,0.2999619709396357,0.26396095809751524,191,"tags=11%, list=1%, signal=10%",2044/8989/150/114,0.35248785758361917
GO:0010634,positive regulation of epithelial cell migration,35,-0.534936252194977,-1.5053092288007357,0.0449422336596197,0.4308758940423092,0.3791627767221841,461,"tags=20%, list=4%, signal=19%",10982/3673/5168/6662/5581/7042/2255,0.3217759180753611
GO:0046620,regulation of organ growth,44,-0.514912170160726,-1.5045134332821422,0.024674820595260313,0.32192415936616287,0.28328727563311673,1841,"tags=34%, list=14%, signal=29%",2539/27086/2735/6910/5728/3776/4208/23414/3516/4851/5999/5292/6608/3084/2263,0.35248785758361917
GO:0009062,fatty acid catabolic process,80,0.4779848173590352,1.503990791441564,0.0184814340770105,0.2833015651857145,0.24930011075302502,3185,"tags=42%, list=25%, signal=32%",3952/8660/35/55862/171586/64900/1374/3667/23417/23175/1632/11057/2639/219743/23659/219970/32/34/390916/1891/2108/3712/5465/1962/3295/1375/207/3028/3030/5467/3032/27349/2166/10449,0.35248785758361917
GO:0007204,positive regulation of cytosolic calcium ion concentration,71,-0.4664312267996409,-1.5035473722664146,0.02008582614225408,0.29407452688571994,0.2587801167783673,1140,"tags=23%, list=9%, signal=21%",6347/6915/775/4040/2852/5737/1909/6546/2099/3356/51554/623/5027/624/114/2847,0.35248785758361917
