gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
FLJ44838	FLJ44838	0	0	0	0	0	0	0	0
FLJ45079	FLJ45079	0	0	0	0	0	0	0	0
FLJ45139	FLJ45139	0	0	0	0	0	0	0	0
FLJ45256	FLJ45256	0	0	0	0	0	0	0	0
FLJ45513	FLJ45513	1	0	1	0	3.008	1.007	2	1
FLJ45743	FLJ45743	0	0	0	0	0	0	0	0
FLJ45825	FLJ45825	0	0	0	0	0	0	0	0
FLJ45872	FLJ45872	0	0	0	0	0	0	0	0
FLJ45964	FLJ45964	0	0	0	0	0	0	0	0
FLJ45974	FLJ45974	1	4	0	0	0	0	0	0
FLJ46026	FLJ46026	0	0	0	0	1	0	0	0
FLJ46066	FLJ46066	0	0	0	0	0	0	0	0
FLJ46284	FLJ46284	0	0	1	0	2	0	1	1
FLJ46363	FLJ46363	27.214	17.422	39.412	14.03	34.432	45.658	19.064	20.584
FLJ46552	FLJ46552	1	0	1	2	2	2	1	5
FLJ46836	FLJ46836	0	0	1	0	0	0	1	0
FLJ46906	FLJ46906	21	21	41	19.056	68	124	18	17
FLNA	FLNA	63082.996	65719.21	76170.678	57145.473	56486.807	143510.746	48143.121	72269.833
FLNB	FLNB	1799.656	1728.059	2192.22	1361.775	1386	3730.544	1953.128	2649.356
FLNC	FLNC	13072.372	11023.157	15926.773	5830.452	14821.553	17417.264	11290.203	8855.05
FLOT1	FLOT1	3098.441	3175.986	3710.283	2306.335	3775.999	4976.607	2315.193	2995.539
FLOT2	FLOT2	1634.647	1720	1969.626	1556.997	2033.123	3705.781	1441.388	2147.958
FLRT1	FLRT1	10.356	2	8	3	3.606	6	5	6
FLRT2	FLRT2	1463.947	787.939	1207.58	337.648	1911.239	1586.772	875.161	533.266
FLRT3	FLRT3	262	35	302	31	433	152.033	301	38
FLT1	FLT1	21.999	17	61	30.999	45	128.001	15	20
FLT3	FLT3	0	0	0	0	0	0	0	0
FLT3LG	FLT3LG	250	186.999	261	124.999	225	195	228	197.009
